,Unnamed: 0,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,Month,Seasons
0,0,7129300520,10/13/2014,221900.0,3,1.0,1180,5650,1.0,0.0,0.0,Good,7,1180,0.0,1955,0.0,98178,47.5112,-122.257,1340,5650,10,Fall
1,1,6414100192,12/9/2014,538000.0,3,2.25,2570,7242,2.0,0.0,0.0,Good,7,2170,400.0,1951,1991.0,98125,47.721,-122.319,1690,7639,12,Winter
2,2,5631500400,2/25/2015,180000.0,2,1.0,770,10000,1.0,0.0,0.0,Good,6,770,0.0,1933,0.0,98028,47.7379,-122.233,2720,8062,2,Winter
3,3,2487200875,12/9/2014,604000.0,4,3.0,1960,5000,1.0,0.0,0.0,Excellent,7,1050,910.0,1965,0.0,98136,47.5208,-122.393,1360,5000,12,Winter
4,4,1954400510,2/18/2015,510000.0,3,2.0,1680,8080,1.0,0.0,0.0,Good,8,1680,0.0,1987,0.0,98074,47.6168,-122.045,1800,7503,2,Winter
5,5,7237550310,5/12/2014,1230000.0,4,4.5,5420,101930,1.0,0.0,0.0,Good,11,3890,1530.0,2001,0.0,98053,47.6561,-122.005,4760,101930,5,Spring
6,6,1321400060,6/27/2014,257500.0,3,2.25,1715,6819,2.0,0.0,0.0,Good,7,1715,291.851723974838,1995,0.0,98003,47.3097,-122.327,2238,6819,6,Spring
7,7,2008000270,1/15/2015,291850.0,3,1.5,1060,9711,1.0,0.0,0.0,Good,7,1060,0.0,1963,0.0,98198,47.4095,-122.315,1650,9711,1,Winter
8,8,2414600126,4/15/2015,229500.0,3,1.0,1780,7470,1.0,0.0,0.0,Good,7,1050,730.0,1960,0.0,98146,47.5123,-122.337,1780,8113,4,Spring
9,9,3793500160,3/12/2015,323000.0,3,2.5,1890,6560,2.0,0.0,0.0,Good,7,1890,0.0,2003,0.0,98038,47.3684,-122.031,2390,7570,3,Winter
10,10,1736800520,4/3/2015,662500.0,3,2.5,3560,9796,1.0,0.0,0.0,Good,8,1860,1700.0,1965,0.0,98007,47.6007,-122.145,2210,8925,4,Spring
11,11,9212900260,5/27/2014,468000.0,2,1.0,1160,6000,1.0,0.0,0.0,Very_Good,7,860,300.0,1942,0.0,98115,47.69,-122.292,1330,6000,5,Spring
12,12,114101516,5/28/2014,310000.0,3,1.0,1430,19901,1.5,0.0,0.0,Very_Good,7,1430,0.0,1927,0.0,98028,47.7558,-122.229,1780,12697,5,Spring
13,13,6054650070,10/7/2014,400000.0,3,1.75,1370,9680,1.0,0.0,0.0,Very_Good,7,1370,0.0,1977,0.0,98074,47.6127,-122.045,1370,10208,10,Fall
14,14,1175000570,3/12/2015,530000.0,5,2.0,1810,4850,1.5,0.0,0.0,Good,7,1810,0.0,1900,0.0,98107,47.67,-122.394,1360,4850,3,Winter
15,15,9297300055,1/24/2015,650000.0,4,3.0,2950,5000,2.0,0.0,3.0,Good,9,1980,970.0,1979,0.0,98126,47.5714,-122.375,2140,4000,1,Winter
16,16,1875500060,7/31/2014,395000.0,3,2.0,1890,14040,2.0,0.0,0.0,Good,7,1890,0.0,1994,0.0,98019,47.7277,-121.962,1890,14018,7,Summer
17,17,6865200140,5/29/2014,485000.0,4,1.0,1600,4300,1.5,0.0,0.0,Very_Good,7,1600,0.0,1916,0.0,98103,47.6648,-122.343,1610,4300,5,Spring
18,18,16000397,12/5/2014,189000.0,2,1.0,1200,9850,1.0,0.0,0.0,Very_Good,7,1200,291.851723974838,1921,0.0,98002,47.3089,-122.21,1060,5095,12,Winter
19,19,7983200060,4/24/2015,230000.0,3,1.0,1250,9774,1.0,0.0,0.0,Very_Good,7,1250,0.0,1969,0.0,98003,47.3343,-122.306,1280,8850,4,Spring
20,20,6300500875,5/14/2014,385000.0,4,1.75,1620,4980,1.0,0.0,0.0,Very_Good,7,860,760.0,1947,0.0,98133,47.7025,-122.341,1400,4980,5,Spring
21,21,2524049179,8/26/2014,2000000.0,3,2.75,3050,44867,1.0,0.0,4.0,Good,9,2330,720.0,1968,0.0,98040,47.5316,-122.233,4110,20336,8,Summer
22,22,7137970340,7/3/2014,285000.0,5,2.5,2270,6300,2.0,0.0,0.0,Good,8,2270,0.0,1995,0.0,98092,47.3266,-122.169,2240,7005,7,Summer
23,23,8091400200,5/16/2014,252700.0,2,1.5,1070,9643,1.0,0.0,0.0,Good,7,1070,0.0,1985,0.0,98030,47.3533,-122.166,1220,8386,5,Spring
24,24,3814700200,11/20/2014,329000.0,3,2.25,2450,6500,2.0,0.0,0.0,Very_Good,8,2450,0.0,1985,0.0,98030,47.3739,-122.172,2200,6865,11,Fall
25,25,1202000200,11/3/2014,233000.0,3,2.0,1710,4697,1.5,0.0,0.0,Excellent,6,1710,0.0,1941,0.0,98002,47.3048,-122.218,1030,4705,11,Fall
26,26,1794500383,6/26/2014,937000.0,3,1.75,2450,2691,2.0,0.0,0.0,Good,8,1750,700.0,1915,0.0,98119,47.6386,-122.36,1760,3573,6,Spring
27,27,3303700376,12/1/2014,667000.0,3,1.0,1400,1581,1.5,0.0,0.0,Excellent,8,1400,0.0,1909,0.0,98112,47.6221,-122.314,1860,3861,12,Winter
28,28,5101402488,6/24/2014,438000.0,3,1.75,1520,6380,1.0,0.0,0.0,Good,7,790,730.0,1948,0.0,98115,47.695,-122.304,1520,6235,6,Spring
